DATE,CUUR0000SEFR02
1997-12-01,100.000
1998-01-01,101.200
1998-02-01,100.900
1998-03-01,101.600
1998-04-01,101.100
1998-05-01,99.800
1998-06-01,101.300
1998-07-01,100.600
1998-08-01,100.500
1998-09-01,101.100
1998-10-01,101.200
1998-11-01,101.000
1998-12-01,101.100
1999-01-01,101.700
1999-02-01,101.700
1999-03-01,101.300
1999-04-01,101.700
1999-05-01,102.400
1999-06-01,102.100
1999-07-01,102.300
1999-08-01,102.200
1999-09-01,103.100
1999-10-01,103.400
1999-11-01,102.900
1999-12-01,103.000
2000-01-01,104.000
2000-02-01,103.900
2000-03-01,104.000
2000-04-01,103.800
2000-05-01,103.300
2000-06-01,103.700
2000-07-01,103.700
2000-08-01,103.600
2000-09-01,103.700
2000-10-01,103.500
2000-11-01,104.000
2000-12-01,104.200
2001-01-01,104.400
2001-02-01,104.200
2001-03-01,104.200
2001-04-01,103.600
2001-05-01,104.100
2001-06-01,104.500
2001-07-01,103.900
2001-08-01,104.300
2001-09-01,104.500
2001-10-01,104.400
2001-11-01,104.300
2001-12-01,105.300
2002-01-01,105.600
2002-02-01,106.000
2002-03-01,105.500
2002-04-01,106.500
2002-05-01,104.900
2002-06-01,105.700
2002-07-01,106.900
2002-08-01,106.500
2002-09-01,106.200
2002-10-01,107.200
2002-11-01,106.700
2002-12-01,107.000
2003-01-01,106.800
2003-02-01,107.800
2003-03-01,108.800
2003-04-01,108.100
2003-05-01,107.500
2003-06-01,108.100
2003-07-01,108.200
2003-08-01,108.000
2003-09-01,107.400
2003-10-01,108.000
2003-11-01,108.100
2003-12-01,107.300
2004-01-01,108.000
2004-02-01,109.000
2004-03-01,108.600
2004-04-01,108.100
2004-05-01,108.000
2004-06-01,108.100
2004-07-01,108.600
2004-08-01,109.100
2004-09-01,108.400
2004-10-01,107.600
2004-11-01,109.300
2004-12-01,107.500
2005-01-01,108.100
2005-02-01,108.700
2005-03-01,108.100
2005-04-01,108.900
2005-05-01,108.100
2005-06-01,109.800
2005-07-01,111.500
2005-08-01,108.500
2005-09-01,109.900
2005-10-01,109.900
2005-11-01,110.600
2005-12-01,111.400
2006-01-01,111.500
2006-02-01,109.300
2006-03-01,112.100
2006-04-01,112.800
2006-05-01,111.400
