DATE,CUSR0000SEFP01
2003-01-01,145.300
2003-02-01,143.800
2003-03-01,144.400
2003-04-01,145.500
2003-05-01,144.600
2003-06-01,145.700
2003-07-01,145.200
2003-08-01,145.600
2003-09-01,145.600
2003-10-01,144.400
2003-11-01,144.100
2003-12-01,145.200
2004-01-01,144.200
2004-02-01,145.700
2004-03-01,145.200
2004-04-01,144.800
2004-05-01,144.400
2004-06-01,142.300
2004-07-01,145.000
2004-08-01,145.500
2004-09-01,146.300
2004-10-01,146.100
2004-11-01,146.800
2004-12-01,147.800
2005-01-01,151.700
2005-02-01,153.800
2005-03-01,153.500
2005-04-01,160.600
2005-05-01,161.600
2005-06-01,164.400
2005-07-01,163.700
2005-08-01,164.400
2005-09-01,163.500
2005-10-01,165.200
2005-11-01,167.300
2005-12-01,165.200
2006-01-01,163.500
2006-02-01,164.200
2006-03-01,165.800
2006-04-01,165.400
2006-05-01,166.900
2006-06-01,164.600
2006-07-01,163.100
2006-08-01,163.900
2006-09-01,164.800
2006-10-01,165.800
2006-11-01,166.500
2006-12-01,169.000
2007-01-01,170.832
2007-02-01,173.934
2007-03-01,173.131
2007-04-01,173.701
2007-05-01,175.333
2007-06-01,175.596
2007-07-01,177.548
2007-08-01,178.011
2007-09-01,176.138
2007-10-01,176.963
2007-11-01,177.903
2007-12-01,178.735
2008-01-01,179.614
2008-02-01,178.849
2008-03-01,181.808
2008-04-01,189.182
2008-05-01,189.867
2008-06-01,189.818
2008-07-01,191.177
2008-08-01,191.224
2008-09-01,192.424
2008-10-01,191.859
2008-11-01,190.222
2008-12-01,190.038
2009-01-01,187.612
2009-02-01,187.771
2009-03-01,186.390
2009-04-01,185.481
2009-05-01,184.424
2009-06-01,186.652
2009-07-01,186.055
2009-08-01,187.143
2009-09-01,187.795
2009-10-01,186.433
2009-11-01,185.669
2009-12-01,184.224
2010-01-01,185.216
2010-02-01,184.730
2010-03-01,183.704
2010-04-01,183.509
2010-05-01,183.325
2010-06-01,183.914
2010-07-01,182.975
2010-08-01,186.096
2010-09-01,190.494
2010-10-01,192.093
2010-11-01,192.519
2010-12-01,188.679
2011-01-01,193.825
2011-02-01,194.494
2011-03-01,201.200
2011-04-01,209.010
2011-05-01,212.938
2011-06-01,217.118
2011-07-01,221.841
2011-08-01,223.444
2011-09-01,221.485
2011-10-01,222.399
2011-11-01,224.707
2011-12-01,223.709
2012-01-01,223.284
2012-02-01,221.591
2012-03-01,220.653
2012-04-01,220.758
2012-05-01,218.626
2012-06-01,216.898
2012-07-01,215.790
2012-08-01,215.396
2012-09-01,214.924
2012-10-01,213.988
2012-11-01,213.159
2012-12-01,213.910
2013-01-01,212.082
2013-02-01,212.289
2013-03-01,209.945
2013-04-01,206.505
2013-05-01,206.163
2013-06-01,205.128
2013-07-01,205.044
2013-08-01,200.821
2013-09-01,200.266
2013-10-01,200.216
2013-11-01,200.068
2013-12-01,197.828
2014-01-01,196.557
2014-02-01,195.805
2014-03-01,197.648
2014-04-01,197.192
2014-05-01,197.848
2014-06-01,199.389
2014-07-01,201.143
2014-08-01,204.418
2014-09-01,205.056
2014-10-01,204.966
2014-11-01,206.215
2014-12-01,205.744
2015-01-01,208.350
2015-02-01,207.385
2015-03-01,206.930
2015-04-01,208.786
2015-05-01,206.467
2015-06-01,204.484
2015-07-01,206.821
2015-08-01,205.349
2015-09-01,204.051
2015-10-01,203.450
2015-11-01,201.762
2015-12-01,202.492
2016-01-01,202.882
2016-02-01,201.770
2016-03-01,200.018
2016-04-01,199.833
2016-05-01,200.845
2016-06-01,199.670
2016-07-01,198.417
2016-08-01,197.460
2016-09-01,198.135
2016-10-01,197.531
2016-11-01,198.789
2016-12-01,196.176
2017-01-01,197.897
2017-02-01,200.139
2017-03-01,199.723
2017-04-01,200.831
2017-05-01,202.335
2017-06-01,199.627
2017-07-01,199.212
2017-08-01,196.051
2017-09-01,198.913
2017-10-01,198.472
2017-11-01,196.742
2017-12-01,199.586
2018-01-01,195.585
2018-02-01,194.949
2018-03-01,196.493
2018-04-01,194.284
2018-05-01,194.876
2018-06-01,193.684
2018-07-01,194.458
2018-08-01,194.207
2018-09-01,194.611
2018-10-01,195.044
2018-11-01,194.593
2018-12-01,195.510
2019-01-01,194.388
2019-02-01,193.966
2019-03-01,193.169
2019-04-01,192.859
2019-05-01,192.460
2019-06-01,194.065
2019-07-01,193.049
2019-08-01,193.884
2019-09-01,192.584
2019-10-01,192.131
2019-11-01,195.305
2019-12-01,190.845
2020-01-01,191.535
2020-02-01,192.354
2020-03-01,193.781
2020-04-01,195.742
2020-05-01,193.759
2020-06-01,195.568
2020-07-01,194.471
2020-08-01,194.224
2020-09-01,194.008
2020-10-01,196.420
2020-11-01,192.863
2020-12-01,195.336
2021-01-01,196.205
2021-02-01,195.892
2021-03-01,195.056
2021-04-01,195.645
2021-05-01,196.569
2021-06-01,196.392
2021-07-01,195.544
2021-08-01,198.089
2021-09-01,201.683
2021-10-01,205.661
2021-11-01,207.134
2021-12-01,207.565
2022-01-01,213.157
2022-02-01,216.427
2022-03-01,216.912
2022-04-01,222.016
2022-05-01,226.577
2022-06-01,227.391
2022-07-01,235.268
2022-08-01,232.983
2022-09-01,233.319
