DATE,CUUR0000SEFS
1967-01-01,37.600
1967-02-01,37.400
1967-03-01,37.300
1967-04-01,37.000
1967-05-01,37.000
1967-06-01,36.900
1967-07-01,36.700
1967-08-01,36.700
1967-09-01,36.900
1967-10-01,36.900
1967-11-01,36.800
1967-12-01,36.900
1968-01-01,37.000
1968-02-01,36.800
1968-03-01,36.800
1968-04-01,36.800
1968-05-01,36.700
1968-06-01,36.700
1968-07-01,36.700
1968-08-01,36.600
1968-09-01,36.500
1968-10-01,36.500
1968-11-01,36.600
1968-12-01,36.500
1969-01-01,36.700
1969-02-01,36.700
1969-03-01,36.800
1969-04-01,36.700
1969-05-01,36.800
1969-06-01,37.000
1969-07-01,36.900
1969-08-01,36.800
1969-09-01,36.700
1969-10-01,36.800
1969-11-01,37.000
1969-12-01,37.200
1970-01-01,37.400
1970-02-01,37.400
1970-03-01,37.700
1970-04-01,38.300
1970-05-01,39.100
1970-06-01,39.300
1970-07-01,39.600
1970-08-01,39.700
1970-09-01,39.800
1970-10-01,40.200
1970-11-01,40.400
1970-12-01,40.900
1971-01-01,41.300
1971-02-01,41.700
1971-03-01,41.900
1971-04-01,42.400
1971-05-01,42.600
1971-06-01,42.600
1971-07-01,42.700
1971-08-01,43.100
1971-09-01,43.400
1971-10-01,43.500
1971-11-01,43.600
1971-12-01,43.600
1972-01-01,43.500
1972-02-01,43.600
1972-03-01,43.700
1972-04-01,43.600
1972-05-01,43.400
1972-06-01,43.100
1972-07-01,42.900
1972-08-01,42.800
1972-09-01,42.900
1972-10-01,42.900
1972-11-01,42.800
1972-12-01,42.700
1973-01-01,42.700
1973-02-01,42.700
1973-03-01,43.000
1973-04-01,43.700
1973-05-01,44.300
1973-06-01,44.900
1973-07-01,44.900
1973-08-01,45.800
1973-09-01,48.400
1973-10-01,52.600
1973-11-01,53.900
1973-12-01,54.200
1974-01-01,54.700
1974-02-01,56.400
1974-03-01,60.000
1974-04-01,62.800
1974-05-01,63.300
1974-06-01,63.700
1974-07-01,63.800
1974-08-01,66.500
1974-09-01,73.500
1974-10-01,75.400
